14:43:50.797 | DEBUG | traceId  | session  | user  | o.s.t.c.s.AbstractDirtiesContextTestExecutionListener - Before test class: context [DefaultTestContext@3e78b6a5 testClass = JavaSpringSecondApplicationTests, testInstance = [null], testMethod = [null], testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@769a1df5 testClass = JavaSpringSecondApplicationTests, locations = '{}', classes = '{class ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@26794848, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@40005471, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@fa4c865, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@4988d8b8, org.springframework.boot.test.context.SpringBootTestArgs@1], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true]], class annotated with @DirtiesContext [false] with mode [null].
14:43:50.828 | DEBUG | traceId  | session  | user  | o.s.t.c.s.TestPropertySourceUtils - Adding inlined properties to environment: {spring.jmx.enabled=false, org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}
14:43:51.252 | DEBUG | traceId  | session  | user  | o.s.b.c.l.ClasspathLoggingApplicationListener - Application started with classpath: [file:/C:/Users/SBerdyshev/AppData/Local/Temp/surefire422732203007345738/surefirebooter8152960973108095060.jar]
14:43:51.332 | INFO  | traceId  | session  | user  | r.s.g.j.j.JavaSpringSecondApplicationTests - Starting JavaSpringSecondApplicationTests on NB-1X65RF2 with PID 11260 (started by sberdyshev in C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second)
14:43:51.332 | DEBUG | traceId  | session  | user  | r.s.g.j.j.JavaSpringSecondApplicationTests - Running with Spring Boot v2.3.0.RELEASE, Spring v5.2.6.RELEASE
14:43:51.332 | INFO  | traceId  | session  | user  | r.s.g.j.j.JavaSpringSecondApplicationTests - No active profile set, falling back to default profiles: default
14:43:51.332 | DEBUG | traceId  | session  | user  | o.s.boot.SpringApplication - Loading source class ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplication
14:43:51.364 | DEBUG | traceId  | session  | user  | o.s.b.c.c.ConfigFileApplicationListener - Loaded config file 'file:/C:/!Education/GeekBrains/Java/%D0%A7%D0%B5%D1%82%D0%B2%D0%B5%D1%80%D1%82%D1%8C%203/JavaSpringSecond/git/java-spring-second/target/classes/application.yml' (classpath:/application.yml)
14:43:51.364 | DEBUG | traceId  | session  | user  | o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@293d0107
14:43:51.383 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
